Nodes:
1: (6,9)
2: (3,7)
3: (6,7)
4: (9,7)
5: (2,5)
6: (4,5)
7: (6,5)
8: (8,5)
9: (10,5)
10: (3,2)
11: (6,2)
12: (9,2)
13: (11,1)
14: (1,1)
Edges:
(1,2): 3
(1,3): 2
(1,4): 3
(2,5): 3
(2,6): 2
(2,7): 4
(3,6): 2
(3,7): 2
(3,8): 2
(4,7): 4
(4,8): 2
(4,9): 3
(5,6): 2
(6,5): 2
(6,7): 2
(7,6): 2
(7,8): 2
(8,7): 2
(8,9): 2
(5,10): 4
(6,10): 3
(6,11): 4
(7,11): 3
(7,12): 5
(8,11): 4
(8,12): 3
(9,12): 3
(10,11): 2
(11,10): 2
(11,12): 2
(12,13): 3
(10,14): 3

Origin:
1
Destinations:
13; 14
